epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3019,1.33549,3.31667,1.23805,0.50083,0.46017,0.39335,0.26313,1.16661,3.28427,1.1722,0.000550705,0.000550705,0.000550705
2,190.552,1.31783,2.39018,1.22123,0.40223,0.6433,0.39537,0.26105,1.23578,2.69499,1.16867,0.00108447,0.00108447,0.00108447
3,284.61,1.26021,2.0285,1.17051,0.3894,0.5181,0.34256,0.21271,1.36731,2.77309,1.21623,0.00159622,0.00159622,0.00159622
4,381.133,1.23273,1.8168,1.17087,0.47214,0.73746,0.47729,0.32485,1.17292,1.76292,1.1151,0.00156798,0.00156798,0.00156798
5,473.956,1.20445,1.59759,1.15354,0.4711,0.70846,0.46414,0.31686,1.14117,1.53838,1.11524,0.00153497,0.00153497,0.00153497
6,566.969,1.16119,1.46498,1.13402,0.44834,0.84103,0.4889,0.33857,1.04764,1.42715,1.08954,0.00150197,0.00150197,0.00150197
7,660.631,1.18251,1.42887,1.14552,0.43546,0.78366,0.45341,0.31056,1.15092,1.47207,1.1112,0.00146896,0.00146896,0.00146896
8,757.617,1.1741,1.41348,1.12678,0.44661,0.81756,0.49,0.33849,1.07452,1.36317,1.07622,0.00143595,0.00143595,0.00143595
9,855.145,1.13305,1.35645,1.11073,0.45413,0.81179,0.48235,0.33742,1.11144,1.29483,1.07301,0.00140295,0.00140295,0.00140295
10,949.264,1.11529,1.30246,1.08485,0.45019,0.76821,0.4626,0.31954,1.08296,1.36219,1.0669,0.00136994,0.00136994,0.00136994
11,1049.89,1.11418,1.27878,1.08905,0.45335,0.76295,0.47891,0.34159,1.03232,1.32924,1.06236,0.00133693,0.00133693,0.00133693
12,1145.59,1.11465,1.25419,1.08584,0.47876,0.77541,0.50407,0.36452,0.99464,1.18397,1.02299,0.00130393,0.00130393,0.00130393
13,1244.64,1.08638,1.22876,1.08233,0.43742,0.86383,0.48118,0.33696,1.02312,1.24381,1.05217,0.00127092,0.00127092,0.00127092
14,1338.9,1.03717,1.22845,1.05976,0.46573,0.77493,0.48479,0.34357,1.04225,1.2297,1.05403,0.00123791,0.00123791,0.00123791
15,1433,1.03239,1.19206,1.04925,0.45244,0.82139,0.4933,0.35829,1.00021,1.21259,1.03758,0.00120491,0.00120491,0.00120491
16,1545.08,1.01392,1.18355,1.0582,0.4455,0.83363,0.48629,0.33603,1.03391,1.24901,1.05627,0.0011719,0.0011719,0.0011719
17,2687.94,1.03924,1.17068,1.06382,0.45163,0.8099,0.47507,0.35471,0.98027,1.18924,1.03341,0.00113889,0.00113889,0.00113889
18,4670.39,1.01812,1.15485,1.05644,0.44082,0.84311,0.50432,0.35995,1.01807,1.19667,1.02872,0.00110589,0.00110589,0.00110589
19,4764.48,1.03939,1.16409,1.05487,0.45634,0.82288,0.4948,0.36242,0.99701,1.12705,1.02481,0.00107288,0.00107288,0.00107288
20,4857.95,1.01313,1.1794,1.04887,0.4477,0.85412,0.48883,0.35501,0.94907,1.17119,1.00161,0.00103987,0.00103987,0.00103987
21,4956.01,1.01607,1.13765,1.05401,0.44254,0.85412,0.47703,0.34213,0.97504,1.16049,1.01535,0.00100687,0.00100687,0.00100687
22,5057.79,1.00764,1.12077,1.04694,0.45446,0.84763,0.4978,0.36146,0.99837,1.15399,1.02605,0.000973861,0.000973861,0.000973861
23,5156.5,0.98507,1.1077,1.04016,0.4368,0.85412,0.47894,0.34247,1.01124,1.18922,1.0401,0.000940855,0.000940855,0.000940855
24,5253.93,0.99973,1.1227,1.03564,0.45012,0.88983,0.4771,0.34915,0.92423,1.11867,1.00752,0.000907848,0.000907848,0.000907848
25,5350.61,0.97685,1.10366,1.03653,0.44341,0.8857,0.47425,0.34262,0.97227,1.12715,1.03089,0.000874842,0.000874842,0.000874842
26,5443.54,0.96199,1.08304,1.03172,0.46067,0.85659,0.47977,0.36371,0.92038,1.146,1.00454,0.000841835,0.000841835,0.000841835
27,5536.55,0.95129,1.09956,1.02336,0.4364,0.88834,0.46957,0.34184,0.97467,1.17095,1.02652,0.000808828,0.000808828,0.000808828
28,5632.78,0.97792,1.11796,1.04023,0.45313,0.85487,0.47577,0.34429,0.92961,1.11497,0.99903,0.000775822,0.000775822,0.000775822
29,5727.85,0.93699,1.07285,1.01866,0.46311,0.82214,0.47857,0.34408,0.96201,1.09774,1.02334,0.000742815,0.000742815,0.000742815
